index,true_label,pred_label,record1,record2
0,0,0,COL clean_supplier_name VAL 4TE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SLATE OFFICE II COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
1,0,0,COL clean_supplier_name VAL KPMG COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL KLUANE COMMUNITY DEVELOPMENT CORPOR COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
3,0,0,COL clean_supplier_name VAL METHOD ENGINEERING BUILDING SERVICES COL address VAL 220 - 4252 Commerce Circle COL city VAL Victoria COL prov VAL British Columbia COL postal VAL V8Z4M2 COL country VAL Canada,"COL clean_supplier_name VAL YELLOWRIDGE CONSTRUCTION COL address VAL 200 – 2605 Clarke Street Port Moody, BC V3H 1Z4 Port Moody British Columbia Canada COL city VAL  COL prov VAL  COL postal VAL  COL country VAL "
4,0,0,COL clean_supplier_name VAL CANADA LIFE ASSURANCE COMPANY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SUN LIFE ASSURANCE COMPANY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
5,0,0,COL clean_supplier_name VAL MOERAE SOLUTIONS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SOLUTIONS MOERAE MSI COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
6,0,0,COL clean_supplier_name VAL TEKNION COL address VAL 1150 Flint Rd COL city VAL Downsview COL prov VAL Ontario COL postal VAL M3J2J5 COL country VAL Canada,COL clean_supplier_name VAL AUTOMATED LOGIC CANADA COL address VAL 95 Denzil Doyle Court<br>Unit4 COL city VAL Ottawa COL prov VAL Ontario COL postal VAL K2M2G8 COL country VAL Canada
11,0,0,COL clean_supplier_name VAL TECHNE SEATING COMPONENT COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL ERGOCENTRIC SEATING SYSTEMS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
12,0,0,COL clean_supplier_name VAL DINEART FURNITURE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL MIKMAQ OFFICE FURNITURE INTERIORS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL B3B COL country VAL CA
13,0,0,Suite 3002 COL city VAL Mississauga COL prov VAL Ontario COL postal VAL L5N 7K2 COL country VAL CA,COL clean_supplier_name VAL C SMITH BUSLINES COL address VAL 2647 County Rd 5 COL city VAL Wooler COL prov VAL Ontario COL postal VAL K0K 3M0 COL country VAL CA
14,0,0,COL clean_supplier_name VAL METOCEAN DATA SYSTEMS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL HITACHI DATA SYSTEMS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
17,0,0,COL clean_supplier_name VAL SECURITY COMPANY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL PARTNERS IN PROTECTION ASSOCIATION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
18,0,0,COL clean_supplier_name VAL MAX AVIATION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL J3Y COL country VAL CA,COL clean_supplier_name VAL NIGHT FLIGHT CONCEPTS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
19,0,0,COL clean_supplier_name VAL FINISHCOAT PAINTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL B3P COL country VAL CA,COL clean_supplier_name VAL DISTINCTIVE TOUCH PAINTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K4A COL country VAL CA
23,0,0,COL clean_supplier_name VAL GFS VICTORIA BC COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL GFS QUEBEC COL address VAL  COL city VAL  COL prov VAL  COL postal VAL G2C COL country VAL CA
24,0,0,COL clean_supplier_name VAL S I SYSTEMS COL address VAL Suite 1200<br>130 Slater Street COL city VAL Ottawa COL prov VAL Ontario COL postal VAL K1P6E2 COL country VAL Canada,COL clean_supplier_name VAL A HUNDRED ANSWERS COL address VAL 340 March Road<br>Suite 200 COL city VAL Kanata COL prov VAL Ontario COL postal VAL K2K2E4 COL country VAL Canada
27,0,0,COL clean_supplier_name VAL WORLD FUEL SERVICES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL BIG EDDY FUEL SERVICES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
28,0,0,COL clean_supplier_name VAL 7130988 CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL J8P COL country VAL CA,COL clean_supplier_name VAL 3682021 CANADA SPORTS MAX COL address VAL  COL city VAL  COL prov VAL  COL postal VAL G0C COL country VAL CA
30,0,0,COL clean_supplier_name VAL STSAILES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL LALEMA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
31,0,0,COL clean_supplier_name VAL PROLITY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL MBH COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
32,0,0,COL clean_supplier_name VAL SAIC CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL 4577 NUNAVUT COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
33,0,0,COL clean_supplier_name VAL SIEMENS CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SIEMENS HEALTHCARE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL L6H COL country VAL CA
34,0,0,COL clean_supplier_name VAL ESRI CANADA COL address VAL 12 Concorde Place<br>Suite 900 COL city VAL Toronto COL prov VAL Ontario COL postal VAL M3C3R8 COL country VAL Canada,COL clean_supplier_name VAL A HUNDRED ANSWERS COL address VAL 340 March Road<br>Suite 200 COL city VAL Kanata COL prov VAL Ontario COL postal VAL K2K2E4 COL country VAL Canada
36,0,0,COL clean_supplier_name VAL LIFE TECHNOLOGIES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SUN LIFE ASSURANCE COMPANY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
37,0,0,COL clean_supplier_name VAL MAXSYS STAFFING CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SPIRIT STAFFING CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
38,0,0,COL clean_supplier_name VAL 9387595 CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL J8V COL country VAL CA,COL clean_supplier_name VAL 3682021 CANADA SPORTS MAX COL address VAL  COL city VAL  COL prov VAL  COL postal VAL G0C COL country VAL CA
39,0,0,COL clean_supplier_name VAL AREOFEU COL address VAL  COL city VAL  COL prov VAL  COL postal VAL J3Z COL country VAL CA,COL clean_supplier_name VAL MICHAEL BETZNER COL address VAL  COL city VAL  COL prov VAL  COL postal VAL T3B COL country VAL CA
40,0,0,COL clean_supplier_name VAL ST JOSEPH PRINT GROUP COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL STJOSEPH PRINT GROUP COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
41,0,0,COL clean_supplier_name VAL STEEPLE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL RAMPART INTERNATIONAL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K1B COL country VAL CA
43,0,0,COL clean_supplier_name VAL MS CONSTRUCTION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL CHANDOS CONSTRUCTION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
44,0,0,COL clean_supplier_name VAL A FUNKE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL BARRYS BULLDOZING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
45,0,0,COL clean_supplier_name VAL ADVANCED ENERGY MANAGEMENT COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL CIET SUSTAINABLE ENERGY TRAINING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
47,0,0,COL clean_supplier_name VAL NATURE AMERICA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL NANOMETRICS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
48,0,0,COL clean_supplier_name VAL 3469051 CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL 168012 CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
49,0,0,COL clean_supplier_name VAL CEARA SALVAGE MARINE SERVICES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL BROWNS AUTO SALVAGE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
51,0,0,COL clean_supplier_name VAL 49 SOLUTIONS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SOLUTIONS MOERAE MSI COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
53,0,0,COL clean_supplier_name VAL 600710 B C COL address VAL #105-2740 Bridge Street COL city VAL Victoria COL prov VAL British Columbia COL postal VAL V8T5C5 COL country VAL Canada,"COL clean_supplier_name VAL YELLOWRIDGE CONSTRUCTION COL address VAL 200 – 2605 Clarke Street Port Moody, BC V3H 1Z4 Port Moody British Columbia Canada COL city VAL  COL prov VAL  COL postal VAL  COL country VAL "
54,0,0,COL clean_supplier_name VAL EHDIITAT RENEWABLE RESOURCE COUNCIL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL CANADIAN RENEWABLE ENERGY ASSOCIATI COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K2T COL country VAL CA
58,0,0,COL clean_supplier_name VAL DAVID PAUL HERVIEUX COL address VAL  COL city VAL  COL prov VAL  COL postal VAL T8W COL country VAL CA,COL clean_supplier_name VAL DAVID NAIRNE ASSOCIATES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL V7M COL country VAL CA
60,0,0,COL clean_supplier_name VAL DATA COMMUNICATIONS MANAGEMENT COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL HITACHI DATA SYSTEMS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
61,0,0,COL clean_supplier_name VAL HE ARMSTRONG MECHANICAL COL address VAL  COL city VAL  COL prov VAL  COL postal VAL B0P COL country VAL CA,COL clean_supplier_name VAL HUNT CLUB HONDA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
62,0,0,COL clean_supplier_name VAL OCLC CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SEE WWWMETROVANCOUVERORG FOR AWARD INFORMATION COL address VAL 4330 Kingsway Burnaby British Columbia Canada COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
63,0,0,COL clean_supplier_name VAL 1490668 ONTARIO COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL 1120911 ONTARIO COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
64,0,0,COL clean_supplier_name VAL CONTRACT COMMUNITY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K2J COL country VAL CA,COL clean_supplier_name VAL KLUANE COMMUNITY DEVELOPMENT CORPOR COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
67,0,0,COL clean_supplier_name VAL BDO CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL AUBRE JEANPIERRE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
68,0,0,COL clean_supplier_name VAL NUR CONSTRUCTION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL T9M COL country VAL CA,COL clean_supplier_name VAL CHANDOS CONSTRUCTION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
69,0,0,COL clean_supplier_name VAL LEV COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SIBERLOGIC COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
70,0,0,COL clean_supplier_name VAL GFS COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL GFS QUEBEC COL address VAL  COL city VAL  COL prov VAL  COL postal VAL G2C COL country VAL CA
72,0,0,COL clean_supplier_name VAL GOSS GILROY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL BARRYS BULLDOZING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
73,0,0,COL clean_supplier_name VAL AXT COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL US,COL clean_supplier_name VAL OTT HYDROMET COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL US
75,0,0,COL clean_supplier_name VAL SHELL AVIATION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL TEXTRON AVIATION COMPANY COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL US
76,0,0,COL clean_supplier_name VAL MAXSYS STAFFING CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL SPIRIT STAFFING CONSULTING COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
77,0,0,COL clean_supplier_name VAL AP GRANDEENTREE COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL LALEMA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
78,0,0,COL clean_supplier_name VAL COMPUGEN COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K2K COL country VAL CA,COL clean_supplier_name VAL WOLTERS KLUWER COL address VAL  COL city VAL  COL prov VAL  COL postal VAL M2N COL country VAL CA
79,0,0,COL clean_supplier_name VAL HEMMERA ENVIROCHEM COL address VAL 4730 Kingsway F18 Burnaby British Columbia Canada COL city VAL  COL prov VAL  COL postal VAL  COL country VAL ,COL clean_supplier_name VAL SEE WWWMETROVANCOUVERORG FOR AWARD INFORMATION COL address VAL 4330 Kingsway Burnaby British Columbia Canada COL city VAL  COL prov VAL  COL postal VAL  COL country VAL 
82,0,0,COL clean_supplier_name VAL AFW CONSTRUCTION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL CHANDOS CONSTRUCTION COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
83,0,0,COL clean_supplier_name VAL 3820840 CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA,COL clean_supplier_name VAL 168012 CANADA COL address VAL  COL city VAL  COL prov VAL  COL postal VAL  COL country VAL CA
85,0,0,COL clean_supplier_name VAL 1210478 ONTARIO COL address VAL 100 Kent St. COL city VAL Ottawa COL prov VAL Ontario COL postal VAL K1P5R7 COL country VAL Canada,COL clean_supplier_name VAL 2415779 ONTARIO COL address VAL Miltex Solutions Canada<br>35 Wilson Ave COL city VAL Belleville COL prov VAL Ontario COL postal VAL K8P1R7 COL country VAL Canada
86,0,0,COL clean_supplier_name VAL J R CLARKE ASSOCIATES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL K4P COL country VAL CA,COL clean_supplier_name VAL DAVID NAIRNE ASSOCIATES COL address VAL  COL city VAL  COL prov VAL  COL postal VAL V7M COL country VAL CA
