id,created_at,name,canonical,name_clean,sources,count,lobby_count,amount,amount_bc,example
7,2024-07-10 16:59:24.38308+00,SNC LAVALIN,1,SNC LAVALIN,"[""bc"",""fd""]",415,2,14440482.75,696060.3,SNC - LAVALIN INC.
8,2024-07-10 16:59:24.38308+00,SNC LAVALIN OM,1,SNC LAVALIN OM,"[""fd""]",15,0,303004.47,null,SNC LAVALIN O&M
9,2024-07-10 16:59:24.38308+00,SNC LAVALLIN,1,SNC LAVALLIN,"[""fd""]",3,0,25000,null,SNC Lavallin
10,2024-07-10 16:59:24.38308+00,SNCLAVALIN SNCLAVALIN,1,SNCLAVALIN SNCLAVALIN,"[""fd""]",12,0,1259116.22,null,SNC-LAVALIN INC./SNC-LAVALIN INC.
11,2024-07-10 16:59:24.38308+00,SNCLAVALIN,1,SNCLAVALIN,"[""bc"",""fd"",""on"",""qc""]",1064,21,101424228,8938953,SNC-LAVALIN INC.
12,2024-07-10 17:00:02.92664+00,SNC LANVALIN,1,SNC LANVALIN,"[""bc""]",1,0,119975,119975,SNC Lanvalin
13,2024-07-10 17:00:02.92664+00,SNCLAVALIN OM,1,SNCLAVALIN OM,"[""fd""]",17,0,125771.53,null,SNC-LAVALIN O&M
14,2024-07-10 17:00:02.92664+00,SNCLAVALIN O M,1,SNCLAVALIN O M,"[""fd""]",6,0,113567.63,null,SNC-Lavalin O & M
15,2024-07-10 17:00:02.92664+00,SNCLAVALIN PAE,1,SNCLAVALIN PAE,"[""fd""]",5,0,732784703,null,"SNC-Lavalin PAE, Inc."
16,2024-07-10 17:00:02.92664+00,GROUPEMENT SNC LAVALIN,1,GROUPEMENT SNC LAVALIN,"[""fd""]",1,0,14129647.36,null,Groupement SNC Lavalin
17,2024-07-10 19:07:53.791958+00,SNC LAVELIN,1,SNC LAVELIN,"[""fd""]",4,0,47279.66,null,SNC Lavelin Inc 
18,2024-07-10 19:07:53.791958+00,SNCLAVELIN,1,SNCLAVELIN,"[""fd""]",1,0,399966,null,SNC-Lavelin
19,2024-07-10 19:07:53.791958+00,SNC LAVALIN HALIFAX,1,SNC LAVALIN HALIFAX,"[""fd""]",114,0,12246445.99,null,SNC Lavalin Inc. (Halifax)
20,2024-07-10 19:07:53.791958+00,SNC LAVALIN PROFAC,1,SNC LAVALIN PROFAC,"[""fd""]",80,0,1468784.27,null,SNC Lavalin ProFac
21,2024-07-10 19:07:53.791958+00,SNC LAVALIN MAGHREB,1,SNC LAVALIN MAGHREB,"[""fd""]",1,0,1117000,null,SNC LAVALIN MAGHREB
22,2024-07-10 19:07:53.791958+00,SNC LAVALIN STRAVIBEL,1,SNC LAVALIN STRAVIBEL,"[""fd""]",2,0,0,null,SNC LAVALIN STRAVIBEL INC
23,2024-07-10 19:07:53.791958+00,SNC LAVALIN MONTREAL,1,SNC LAVALIN MONTREAL,"[""fd""]",2,0,49225,null,SNC Lavalin (Montreal)
24,2024-07-10 19:07:53.791958+00,SNC LAVALIN GEM QUEBEC,1,SNC LAVALIN GEM QUEBEC,"[""fd""]",6,0,159528.91,null,SNC LAVALIN GEM QUEBEC INC
25,2024-07-10 19:07:53.791958+00,SNC LAVALIN GEM ONTARIO,1,SNC LAVALIN GEM ONTARIO,"[""fd""]",5,0,20340,null,SNC - Lavalin GEM Ontario Inc.
26,2024-07-10 19:07:53.791958+00,SNCLAVALINPROFAC,1,SNCLAVALINPROFAC,"[""fd""]",1,0,10448.01,null,SNC-LAVALINPROFAC
27,2024-07-10 19:07:53.791958+00,SNCLAVALIN WIIBE,1,SNCLAVALIN WIIBE,"[""fd""]",1,0,63892.5,null,SNC-LAVALIN WIIBE
28,2024-07-10 19:07:53.791958+00,SNC LAVALIN ENVIRONMENT,1,SNC LAVALIN ENVIRONMENT,"[""fd""]",145,0,501312.46,null,SNC LAVALIN ENVIRONMENT INC.
29,2024-07-10 19:07:53.791958+00,SNC LAVALIN AIR LOGISTICS,1,SNC LAVALIN AIR LOGISTICS,"[""fd""]",1,0,9880247.62,null,SNC Lavalin Air Logistics Inc
30,2024-07-10 19:07:53.791958+00,SNCLAVALIN QUEBEC,1,SNCLAVALIN QUEBEC,"[""fd""]",2,0,133333,null,SNC-LAVALIN QUEBEC INC.
31,2024-07-10 19:07:53.791958+00,SNCLAVALIN HALIFAX,1,SNCLAVALIN HALIFAX,"[""fd""]",198,0,45753793.29,null,SNC-Lavalin Inc. (Halifax)
32,2024-07-10 19:07:53.791958+00,SNCLAVALIN OTTAWA,1,SNCLAVALIN OTTAWA,"[""fd""]",7,0,422297.17,null,SNC-Lavalin Inc. (Ottawa)
33,2024-07-10 19:07:53.791958+00,SNCLAVALIN PROFAC,1,SNCLAVALIN PROFAC,"[""fd""]",34,0,23397534.29,null,SNC-LAVALIN PROFAC INC
34,2024-07-10 19:07:53.791958+00,SNC LAVALIN ENVIRONNEMENT,1,SNC LAVALIN ENVIRONNEMENT,"[""fd""]",10,0,467173.55,null,SNC LAVALIN ENVIRONNEMENT INC.
35,2024-07-10 19:07:53.791958+00,SNCLAVALIN CAPITAL,1,SNCLAVALIN CAPITAL,"[""fd""]",1,0,2250000,null,SNC-Lavalin Capital Inc.
36,2024-07-10 19:07:53.791958+00,SNCLAVALIN TORONTO,1,SNCLAVALIN TORONTO,"[""fd""]",7,0,53100944.12,null,SNC-Lavalin Inc. (Toronto)
37,2024-07-10 19:07:53.791958+00,SNCLAVALIN MONTREAL,1,SNCLAVALIN MONTREAL,"[""fd""]",13,0,1879295.64,null,SNC-Lavalin (Montreal)
38,2024-07-10 19:07:53.791958+00,SNCLAVALIN VICTORIA,1,SNCLAVALIN VICTORIA,"[""fd""]",18,0,2018158.18,null,SNC-Lavalin Inc.  (Victoria)
39,2024-07-10 19:07:53.791958+00,SNC LAVALIN OPERATION MAINT,1,SNC LAVALIN OPERATION MAINT,"[""fd""]",2,0,30137.63,null,SNC - LAVALIN OPERATION & MAINT
40,2024-07-10 19:07:53.791958+00,SNCLAVALIN EDMONTON,1,SNCLAVALIN EDMONTON,"[""fd""]",1,0,18757.36,null,SNC-Lavalin Inc. (Edmonton)
41,2024-07-10 19:07:53.791958+00,SNCLAVALIN LEVIS QC,1,SNCLAVALIN LEVIS QC,"[""fd""]",1,0,11994.49,null,"SNC-Lavalin inc. (Levis, QC)"
42,2024-07-10 19:09:22.931624+00,SNCLAVALIN 20181113,1,SNCLAVALIN 20181113,"[""bc""]",1,0,2500000,2500000,SNC-Lavalin Inc (2018/11/13)
43,2024-07-10 19:09:22.931624+00,SNCLAVALIN WINNIPEG,1,SNCLAVALIN WINNIPEG,"[""fd""]",1,0,13533,null,SNC-Lavalin Inc. (Winnipeg)
44,2024-07-10 19:09:22.931624+00,SNCLAVALIN BURNABY BC,1,SNCLAVALIN BURNABY BC,"[""fd""]",8,0,208317.45,null,"SNC-Lavalin Inc. (Burnaby, BC)"
45,2024-07-10 19:09:22.931624+00,SNC LAVALIN ATIKINSREALIS CANADA,1,SNC LAVALIN ATIKINSREALIS CANADA,"[""fd""]",2,0,194908.89,null,SNC LAVALIN INC - ATIKINSREALIS CANADA
46,2024-07-10 19:09:22.931624+00,SNCLAVALIN AIR LOGISTICS,1,SNCLAVALIN AIR LOGISTICS,"[""fd""]",1,0,1454000,null,SNC-Lavalin Air Logistics
47,2024-07-10 19:09:22.931624+00,SNCLAVALIN GEM QUEBEC,1,SNCLAVALIN GEM QUEBEC,"[""fd""]",30,0,157374.72,null,SNC-LAVALIN GEM QUÉBEC INC
48,2024-07-10 19:09:22.931624+00,SNCLAVALIN OPERATIONS,1,SNCLAVALIN OPERATIONS,"[""fd""]",26,0,429035.68,null,SNC-Lavalin Operations &
49,2024-07-10 19:09:22.931624+00,SNCLAVALIN FREDERICTON,1,SNCLAVALIN FREDERICTON,"[""fd""]",3,0,94406.4,null,SNC-Lavalin (Fredericton)
50,2024-07-10 19:09:22.931624+00,SNCLAVALIN JULY 27 2015,1,SNCLAVALIN JULY 27 2015,"[""bc""]",1,0,3000000,3000000,"SNC-Lavalin Inc (July 27, 2015)"
51,2024-07-10 19:09:22.931624+00,SNCLAVALIN ENVIRONMENT,1,SNCLAVALIN ENVIRONMENT,"[""fd""]",23,0,1698068.12,null,SNC-Lavalin Environment Inc.
52,2024-07-10 19:09:22.931624+00,SNCLAVALIN GEM ONTARIO,1,SNCLAVALIN GEM ONTARIO,"[""fd""]",14,0,526930,null,SNC-Lavalin GEM Ontario Inc
53,2024-07-10 19:09:22.931624+00,SNC LAVALIN OPERATIONS MAINTENANACE,1,SNC LAVALIN OPERATIONS MAINTENANACE,"[""fd""]",3,0,39119.88,null,SNC LAVALIN OPERATIONS & MAINTENANACE
54,2024-07-10 19:09:22.931624+00,SNCLAVALIN ENVIRONMENTAL,1,SNCLAVALIN ENVIRONMENTAL,"[""fd""]",3,0,0,null,"SNC-LAVALIN INC, ENVIRONMENTAL"
55,2024-07-10 19:09:22.931624+00,SNCLAVALIN ENVIRONNEMENT,1,SNCLAVALIN ENVIRONNEMENT,"[""fd""]",12,0,535044,null,SNC-LAVALIN ENVIRONNEMENT INC.
56,2024-07-10 19:09:22.931624+00,SNCLAVALIN GRANDS PROJETS,1,SNCLAVALIN GRANDS PROJETS,"[""fd""]",11,0,327574.69,null,SNC-LAVALIN GRANDS PROJETS INC.
57,2024-07-10 19:09:22.931624+00,SNC LAVALIN PROFAC PROJECT MANAGEMENT UNIT,1,SNC LAVALIN PROFAC PROJECT MANAGEMENT UNIT,"[""fd""]",1,0,24547.06,null,SNC - LAVALIN PROFAC PROJECT MANAGEMENT UNIT
58,2024-07-10 19:09:22.931624+00,SNCLAVALIN GRANDS PROJECTS,1,SNCLAVALIN GRANDS PROJECTS,"[""fd""]",1,0,2900000,null,SNC-LAVALIN GRANDS PROJECTS INC
59,2024-07-10 19:09:22.931624+00,SNC LAVALIN PROFAC ACCOUNTING DEPARTMENT,1,SNC LAVALIN PROFAC ACCOUNTING DEPARTMENT,"[""fd""]",1,0,12158.32,null,SNC LAVALIN PROFAC INC. ACCOUNTING DEPARTMENT
60,2024-07-10 19:09:22.931624+00,SNCLAVALIN DEFENCE PROGRAMS,1,SNCLAVALIN DEFENCE PROGRAMS,"[""fd""]",14,0,355771564,null,SNC-Lavalin Defence Programs Inc.
61,2024-07-10 19:09:22.931624+00,SNCLAVALIN OPERATIONS MAINT,1,SNCLAVALIN OPERATIONS MAINT,"[""fd""]",2,0,15806.7,null,SNC-LAVALIN OPERATIONS & MAINT
62,2024-07-10 19:09:22.931624+00,SNCLAVALIN DEFENSE PROGRAMS,1,SNCLAVALIN DEFENSE PROGRAMS,"[""fd""]",5,0,817013197.5,null,SNC-Lavalin Defense Programs Limited
63,2024-07-10 19:09:22.931624+00,SNCLAVALIN INFRASTRUCTURE PVT,1,SNCLAVALIN INFRASTRUCTURE PVT,"[""fd""]",2,0,42097.88,null,SNC-LAVALIN INFRASTRUCTURE PVT LTD
64,2024-07-10 19:09:22.931624+00,SNCLAVALIN ENVIRONMENT HALIFAX,1,SNCLAVALIN ENVIRONMENT HALIFAX,"[""fd""]",21,0,4151157.83,null,SNC-Lavalin Environment Inc. (Halifax)
65,2024-07-10 19:09:22.931624+00,SNC LAVALIN PWGSC ATLANTIC PORTFOLIO COMPANY,1,SNC LAVALIN PWGSC ATLANTIC PORTFOLIO COMPANY,"[""fd""]",1,0,18868.91,null,SNC LAVALIN PWGSC ATLANTIC PORTFOLIO COMPANY
66,2024-07-10 19:09:22.931624+00,SNC LAVALIN O M PWGSCWESTERN PORTFOLIO COMPANY,1,SNC LAVALIN O M PWGSCWESTERN PORTFOLIO COMPANY,"[""fd""]",1,0,11592.24,null,SNC LAVALIN O & M PWGSC-WESTERN PORTFOLIO COMPANY
67,2024-07-10 19:09:22.931624+00,SNCLAVALIN OA BAE NEWPLAN GROUP,1,SNCLAVALIN OA BAE NEWPLAN GROUP,"[""fd""]",1,0,1969800,null,SNC-Lavalin Inc. o/a BAE Newplan Group
68,2024-07-10 19:09:22.931624+00,SNCLAVALIN ENVIRONMENT DIVISION,1,SNCLAVALIN ENVIRONMENT DIVISION,"[""fd""]",44,0,290425.28,null,"SNC-LAVALIN INC., ENVIRONMENT DIVISION"
69,2024-07-10 19:09:22.931624+00,SNCLAVALIN ENVIRONMENT VICTORIA,1,SNCLAVALIN ENVIRONMENT VICTORIA,"[""fd""]",17,0,4183547.5,null,SNC-Lavalin Environment Inc.  (Victoria)
70,2024-07-10 19:09:22.931624+00,SNC LAVALIN PROFAC RE PWGSC QC PORTFOLIO COMPANY,1,SNC LAVALIN PROFAC RE PWGSC QC PORTFOLIO COMPANY,"[""fd""]",2,0,30696.73,null,SNC - LAVALIN PROFAC INC. RE: PWGSC - QC PORTFOLIO COMPANY
71,2024-07-10 19:09:22.931624+00,SNCLAVALIN ENVIRONMENT DIVIS ION,1,SNCLAVALIN ENVIRONMENT DIVIS ION,"[""fd""]",2,0,0,null,"SNC-LAVALIN INC., ENVIRONMENT DIVIS ION"
72,2024-07-10 19:09:22.931624+00,SNC LAVALIN PROFAC PWGSCWESTERN PORTFOLIO COMPANY,1,SNC LAVALIN PROFAC PWGSCWESTERN PORTFOLIO COMPANY,"[""fd""]",1,0,13333.02,null,SNC LAVALIN PROFAC INC. PWGSC-WESTERN PORTFOLIO COMPANY
73,2024-07-10 19:09:22.931624+00,SNCLAVALIN ENVIRONMENTAL DIVISION,1,SNCLAVALIN ENVIRONMENTAL DIVISION,"[""fd""]",4,0,0,null,"SNC-LAVALIN INC, ENVIRONMENTAL DIVISION"
74,2024-07-10 19:09:22.931624+00,SNCLAVALIN OPERATIONS MAINTENANCE,1,SNCLAVALIN OPERATIONS MAINTENANCE,"[""fd""]",8,6,701978.87,null,Snc-Lavalin Operations & Maintenance Inc.
75,2024-07-10 19:09:22.931624+00,SNCLAVALIN CONSTRUCTION AECON JOINT V,1,SNCLAVALIN CONSTRUCTION AECON JOINT V,"[""fd""]",1,0,99765,null,SNC-Lavalin Construction / AECON Joint V
76,2024-07-10 19:09:22.931624+00,SNCLAVLIN ENVIRONMENT,1,SNCLAVLIN ENVIRONMENT,"[""fd""]",1,0,15704,null,SNC-Lavlin Environment Inc.
77,2024-07-10 19:09:22.931624+00,SNCLAVALIN PROFAC PROJECT MANAGEMENT UNIT,1,SNCLAVALIN PROFAC PROJECT MANAGEMENT UNIT,"[""fd""]",1,0,23667,null,SNC-LAVALIN  PROFAC PROJECT MANAGEMENT UNIT
78,2024-07-10 19:10:20.830099+00,ATKINSREALIS,1,ATKINSREALIS,"[""bc"",""fd"",""on""]",2,46,0,0,Atkinsréalis
79,2024-07-10 19:10:20.830099+00,ATKINS REALIS CANADA,1,ATKINS REALIS CANADA,"[""fd""]",1,0,0,null,Atkins Realis Canada Inc
80,2024-07-10 19:10:20.830099+00,ATKINSREALIS CANADA,1,ATKINSREALIS CANADA,"[""bc"",""fd""]",166,0,20429908.28,7786684.5,ATKINSRÉALIS CANADA INC.
81,2024-07-10 19:10:20.830099+00,ATKINSREALIS MAJOR PROJECTS,1,ATKINSREALIS MAJOR PROJECTS,"[""fd""]",5,0,420765.73,null,ATKINSRÉALIS MAJOR PROJECTS INC
4091,2024-07-29 17:33:19.992174+00,SNC LAVALIN NUCLEAR,1,SNC LAVALIN NUCLEAR,"[""fd""]",0,3,0,null,Snc Lavalin Nuclear Inc.
4092,2024-07-29 17:33:19.992174+00,SNCLAVALIN GROUP,1,SNCLAVALIN GROUP,"[""on""]",0,2,0,null,Snc-Lavalin Group Inc
